MPH,Time of Day,Temperature,Wheater,Week Day,Collector
33,10:53 AM,53,Sunny,Tuesday,Gavin
35,10:54 AM,53,Sunny,Tuesday,Gavin
37,10:54 AM,53,Sunny,Tuesday,Gavin
35,10:54 AM,53,Sunny,Tuesday,Gavin
22,10:55 AM,53,Sunny,Tuesday,Gavin
34,10:55 AM,53,Sunny,Tuesday,Gavin
31,10:55 AM,53,Sunny,Tuesday,Gavin
36,10:56 AM,53,Sunny,Tuesday,Gavin
36,10:56 AM,53,Sunny,Tuesday,Gavin
30,10:57 AM,53,Sunny,Tuesday,Gavin
31,10:57 AM,53,Sunny,Tuesday,Gavin
35,10:57 AM,53,Sunny,Tuesday,Gavin
38,10:57 AM,53,Sunny,Tuesday,Gavin
24,10:58 AM,53,Sunny,Tuesday,Gavin
27,10:58 AM,53,Sunny,Tuesday,Gavin
37,10:59 AM,53,Sunny,Tuesday,Gavin
34,10:59 AM,53,Sunny,Tuesday,Gavin
29,10:59 AM,53,Sunny,Tuesday,Gavin
29,10:59 AM,53,Sunny,Tuesday,Gavin
28,10:59 AM,53,Sunny,Tuesday,Gavin
33,10:59 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
32,11:00 AM,53,Sunny,Tuesday,Gavin
33,11:00 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
34,11:00 AM,53,Sunny,Tuesday,Gavin
35,11:00 AM,53,Sunny,Tuesday,Gavin
33,11:01 AM,53,Sunny,Tuesday,Gavin
34,11:01 AM,53,Sunny,Tuesday,Gavin
31,11:01 AM,53,Sunny,Tuesday,Gavin
32,11:01 AM,53,Sunny,Tuesday,Gavin
31,11:02 AM,53,Sunny,Tuesday,Gavin
32,11:03 AM,53,Sunny,Tuesday,Gavin
30,11:03 AM,53,Sunny,Tuesday,Gavin
36,11:03 AM,53,Sunny,Tuesday,Gavin
33,11:04 AM,53,Sunny,Tuesday,Gavin
32,11:04 AM,53,Sunny,Tuesday,Gavin
30,11:04 AM,53,Sunny,Tuesday,Gavin
40,11:04 AM,53,Sunny,Tuesday,Gavin
