Car Number,Time of Day,Weather,Type of Car,Speed (mph),Name
1,9:07,51,Sedan,31,Patrick
2,9:07,51,SUV,31,Patrick
3,9:07,51,Sedan,36,Patrick
4,9:08,51,SUV,39,Patrick
5,9:08,51,SUV,38,Patrick
6,9:08,51,Sedan,39,Patrick
7,9:08,51,SUV,33,Patrick
8,9:09,51,Truck,33,Patrick
9,9:09,51,SUV,31,Patrick
10,9:09,51,SUV,30,Patrick
11,9:09,51,Sedan,36,Patrick
12,9:09,51,SUV,36,Patrick
13,9:09,51,Bus,34,Patrick
14,9:10,51,Van,33,Patrick
15,9:11,51,SUV,30,Patrick
16,9:11,51,SUV,29,Patrick
17,9:11,51,Truck,32,Patrick
18,9:11,51,Sedan,31,Patrick
19,9:12,51,Truck,36,Patrick
20,9:12,51,SUV,33,Patrick
21,9:12,51,SUV,30,Patrick
22,9:13,51,Bus,32,Patrick
23,9:14,51,SUV,29,Patrick
24,9:14,51,SUV,36,Patrick
25,9:15,51,SUV,35,Patrick
26,9:15,51,SUV,33,Patrick
27,9:15,51,Van,33,Patrick
28,9:16,51,Truck,34,Patrick
29,9:16,51,Sedan,32,Patrick
30,9:16,51,SUV,33,Patrick
31,9:17,51,SUV,33,Patrick
32,9:17,51,Truck,33,Patrick
33,9:17,51,SUV,30,Patrick
34,9:17,51,Sedan,32,Patrick
35,9:17,51,Van,31,Patrick
36,9:17,51,Truck,31,Patrick
37,9:17,51,Sedan,28,Patrick
38,9:18,51,SUV,30,Patrick
39,9:18,51,Sedan,30,Patrick
40,9:18,51,SUV,28,Patrick
41,9:18,51,SUV,39,Patrick
42,9:18,51,Sedan,37,Patrick
43,9:19,51,Truck,37,Patrick
44,9:19,51,Truck,27,Patrick
45,9:19,51,Sedan,29,Patrick
46,9:19,51,SUV,31,Patrick
47,9:20,51,Truck,32,Patrick
48,9:20,51,SUV,30,Patrick
49,9:20,51,Sedan,36,Patrick
50,9:21,51,SUV,41,Patrick
51,11:56,64,Sedan,31,Summer
52,11:56,64,Sedan,30,Summer
53,11:56,64,Truck,34,Summer
54,11:56,64,Sedan,34,Summer
55,11:56,64,Truck,33,Summer
56,11:57,64,Sedan,33,Summer
57,11:57,64,Sedan,35,Summer
58,11:57,64,Sedan,35,Summer
59,11:57,64,Sedan,37,Summer
60,11:57,64,Sedan,40,Summer
61,11:58,64,Truck,38,Summer
62,11:58,64,Sedan,33,Summer
63,11:58,64,Truck,38,Summer
64,11:58,64,Sedan,35,Summer
65,11:58,64,Sedan,34,Summer
66,11:59,64,Truck,34,Summer
67,11:59,64,Sedan,39,Summer
68,11:59,64,Truck,37,Summer
69,11:59,64,Sedan,29,Summer
70,11:59,64,Sedan,37,Summer
71,11:59,64,Ambulance,45,Summer
72,12:00,64,Sedan,34,Summer
73,12:00,64,Sedan,33,Summer
74,12:00,64,Truck,31,Summer
75,12:00,64,Sedan,31,Summer
76,12:00,64,Sedan,31,Summer
77,12:00,64,Sedan,30,Summer
78,12:00,64,Sedan,31,Summer
79,12:00,64,Truck,30,Summer
80,12:01,64,Sedan,31,Summer
81,12:01,64,Sedan,31,Summer
82,12:01,64,Sedan,32,Summer
83,12:01,64,Sedan,34,Summer
84,12:01,64,Sedan,30,Summer
85,12:01,64,Truck,31,Summer
86,12:02,64,Van,32,Summer
87,12:02,64,Truck,32,Summer
88,12:02,64,Sedan,35,Summer
89,12:02,64,Sedan,44,Summer
90,12:03,64,Sedan,42,Summer
91,12:03,64,Truck,30,Summer
92,12:03,64,Sedan,40,Summer
93,12:05,64,Sedan,32,Summer
94,12:05,64,Sedan,38,Summer
95,12:05,64,Truck,34,Summer
96,12:05,64,SUV,35,Summer
97,12:05,64,Truck,34,Summer
98,12:06,64,SUV,34,Summer
99,12:06,64,Sedan,35,Summer
100,12:06,64,Sedan,30,Summer
101,18:17,62,Sedan,33,Yanet
102,18:17,62,Sedan,32,Yanet
103,18:17,62,SUV,34,Yanet
104,18:17,62,SUV,29,Yanet
105,18:17,62,Truck,32,Yanet
106,18:18,62,Sedan,31,Yanet
107,18:18,62,Truck,32,Yanet
108,18:18,62,Sedan,37,Yanet
109,18:19,62,Sedan,35,Yanet
110,18:19,62,Truck,29,Yanet
111,18:19,62,Sedan,35,Yanet
112,18:20,62,SUV,32,Yanet
113,18:20,62,SUV,35,Yanet
114,18:20,62,Sedan,21,Yanet
115,18:20,62,Sedan,22,Yanet
116,18:20,62,Sedan,30,Yanet
117,18:20,62,Sedan,31,Yanet
118,18:20,62,Sedan,29,Yanet
119,18:21,62,SUV,29,Yanet
120,18:21,62,Sedan,35,Yanet
121,18:21,62,Truck,40,Yanet
122,18:22,62,Sedan,42,Yanet
123,18:22,62,Sedan,35,Yanet
124,18:22,62,Sedan,37,Yanet
125,18:22,62,Truck,34,Yanet
126,18:23,62,Sedan,36,Yanet
127,18:23,62,Sedan,33,Yanet
128,18:24,62,Sedan,34,Yanet
129,18:24,62,Sedan,40,Yanet
130,18:25,62,Truck,31,Yanet
131,18:25,62,Sedan,20,Yanet
132,18:25,62,SUV,32,Yanet
133,18:25,62,SUV,34,Yanet
134,18:25,62,Sedan,34,Yanet
135,18:26,62,Sedan,33,Yanet
136,18:26,62,Sedan,32,Yanet
137,18:26,62,Sedan,34,Yanet
138,18:27,62,Truck,33,Yanet
139,18:27,62,Sedan,33,Yanet
140,18:27,62,Sedan,34,Yanet
141,18:28,62,SUV,32,Yanet
142,18:28,62,SUV,32,Yanet
143,18:28,62,Sedan,32,Yanet
144,18:29,62,SUV,27,Yanet
145,18:29,62,SUV,32,Yanet
146,18:29,62,Sedan,35,Yanet
147,18:30,62,Sedan,35,Yanet
148,18:30,62,Sedan,27,Yanet
149,18:30,62,Sedan,30,Yanet
150,18:31,62,Sedan,33,Yanet
